start,end,text
8.863,12.507," Laura, at this stage I can offer nothing more than my word."
13.928,16.851,I am a senior government employee in the intelligence community.
17.832,24.318,"I hope you understand that contacting you is extremely high risk, and you are willing to agree to the following precautions before I share more."
25.639,27.02,This will not be a waste of your time.
28.862,32.826,"The following sounds complex, but should only take minutes to complete for someone technical."
34.164,39.528, I would like to confirm out of email that the keys we exchanged were not intercepted and replaced by your surveillance.
41.609,46.452,Please confirm that no one has ever had a copy of your private key and that it uses a strong passphrase.
47.012,50.275,Assume your adversary is capable of one trillion guesses per second.
51.776,58.5,"If the device you store the private key and enter your passphrase on has been hacked, it is trivial to decrypt our communications."
60.16,64.563," Understand that the above steps are not bulletproof, and are intended only to give us breathing room."
65.104,68.846,"In the end, if you publish the source material, I will likely be immediately implicated."
69.467,72.529,This must not deter you from releasing the information I will provide.
74.61,75.951,"Thank you, and be careful."
77.673,78.053,Citizen 4
100.731,107.973," By the way, does surveillance mean that there are facts for the law to apply to?"
107.993,112.574,"If you take away the surveillance, there are no facts that the government can manufacture."
112.634,113.174,That's right.
113.354,115.475,And this is all about creating an independent record.
115.535,122.937,"To me, this goes to the question of independently verifying what the government is doing."
123.177,124.578," Hey, can you hear me?"
124.598,125.838,"I am here, David."
126.098,127.219,How are you?
148.206,156.811," Well, I would just start by pointing to what Barack Obama himself said about those questions when he was running for the office that he now occupies in December of 2007."
157.352,168.098,"He said, quote, the president does not have the power under the Constitution to unilaterally authorize a military attack in a situation that does not involve stopping an actual or imminent threat to the nation."
168.178,173.542,"So by Obama's own words, the president does not have the power that he's now exercising under the Constitution"
174.062,188.266," And as far as why it matters, on August 1, 2007, when he laid out his reasons why he was running for office and why he thought it was so important to change the way we were doing things, he said, quote, no more ignoring the law when it's inconvenient."
188.326,189.586,That is not who we are.
189.986,195.288,We will again set an example for the world that the law is not subject to the whims of stubborn rulers.
195.748,199.349,So to allow presidents to simply start wars on their own without anything...
224.298,225.52, You asked why I picked you.
227.003,227.424,I didn't.
228.045,228.426,You did.
229.588,231.952,The surveillance you've experienced means you've been selected.
232.794,236.782,A term which will mean more to you as you learn about how the modern SIGINT system works.
